name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Jose Landi-Jons,Pele,29,16,0,180.34,77.11,,Orthodox,09-09-1973
Jose Maria,No Chance,37,7,0,165.1,56.7,,Orthodox,04-01-1982
Jose Medina,Chicho,11,3,0,182.88,92.99,187.96,Orthodox,17-05-1991
Jose Palacios,,3,2,0,175.26,65.77,,Orthodox,
Jose Perez,,1,0,0,,,,,
Jose Quinonez,Teco,9,5,0,172.72,61.23,175.26,Southpaw,28-07-1990
Jose Santibanez,,10,3,0,,70.31,,,
Jose Torres,Shorty,8,1,0,162.56,56.7,165.1,Orthodox,02-08-1992
Josefine Knutsson,Thunder,7,0,0,160.02,52.16,152.4,Orthodox,16-01-1996
Joselyne Edwards,La Pantera,13,5,0,172.72,61.23,177.8,Orthodox,29-09-1995
Joseph Benavidez,,28,8,0,162.56,56.7,165.1,Southpaw,31-07-1984
Joseph Gigliotti,Capo,7,2,0,180.34,83.91,,Orthodox,13-08-1993
Joseph Holmes,Uglyman Joe,8,4,0,193.04,83.91,203.2,Orthodox,04-07-1995
Joseph Morales,,9,2,0,167.64,56.7,175.26,Switch,22-08-1994
Joseph Sandoval,,7,7,0,170.18,61.23,,Southpaw,11-05-1986
Josh Appelt,,15,7,0,177.8,115.67,,Southpaw,19-06-1983
Josh Barnett,The Warmaster,35,8,0,190.5,113.4,198.12,Orthodox,10-11-1977
Josh Bennett,,11,14,0,193.04,117.48,,Orthodox,
Josh Bryant,The Beast,15,4,0,177.8,83.91,,Orthodox,23-04-1980
Josh Bumgarner,,6,4,0,185.42,77.11,,,
Josh Burns,The Hammer,8,10,0,185.42,110.68,,,
Josh Clopton,The Gentleman,6,2,1,167.64,65.77,,Orthodox,11-07-1981
Josh Copeland,Cuddly Bear,12,4,0,185.42,120.2,,Orthodox,20-10-1982
Josh Culibao,Kuya,11,2,1,177.8,65.77,185.42,Orthodox,24-05-1994
Josh Diekmann,The Freight Train,15,8,0,162.56,111.58,,,
Josh Emmett,CC0,18,4,0,167.64,65.77,177.8,Orthodox,04-03-1985
Josh Epps,,6,7,0,,58.97,,,
Josh Ferguson,Taz,10,5,0,165.1,56.7,,Orthodox,13-05-1988
Josh Fremd,,11,5,0,193.04,83.91,193.04,Orthodox,15-01-1994
Josh Grispi,The Fluke,14,5,0,180.34,65.77,187.96,Orthodox,14-10-1988
Josh Haynes,Bring the Pain,14,11,0,175.26,77.11,,Orthodox,30-07-1977
Josh Hendricks,,19,11,0,187.96,106.59,,Southpaw,28-08-1976
Josh Janousek,,8,1,0,180.34,83.91,,Orthodox,25-09-1980
Josh Jarvis,,1,4,0,,,,,
Josh Koscheck,,17,11,0,177.8,77.11,185.42,Orthodox,30-11-1977
Josh LaBerge,,11,6,0,177.8,65.77,,,
Josh McDonald,,9,5,0,,83.91,,,
Josh Neal,,5,11,0,182.88,83.91,,,
Josh Neer,The Dentist,36,16,1,180.34,77.11,182.88,Orthodox,24-03-1983
Josh Paiva,,8,2,0,167.64,56.7,,,
Josh Parisian,,15,7,0,193.04,120.2,200.66,Orthodox,28-06-1989
Josh Pulsifer,The Platypus,17,8,0,177.8,65.77,,,
Josh Quinlan,Bushido,6,1,0,182.88,77.11,182.88,Orthodox,06-02-1993
Josh Rafferty,,9,8,0,182.88,77.11,,Orthodox,06-01-1981
Josh Samman,Anqa,13,4,0,190.5,83.91,200.66,Orthodox,14-03-1988
Josh Sampo,The Gremlin,11,5,0,162.56,56.7,162.56,Orthodox,24-07-1984
Josh San Diego,JSD,8,3,0,177.8,61.23,,,
Josh Shockley,,11,4,0,185.42,70.31,,Orthodox,15-11-1989
Josh Shockman,The War Hammer,6,3,0,193.04,106.59,,Southpaw,29-12-1980
Josh Smith,,9,8,0,182.88,70.31,,Orthodox,02-07-1982
Josh Stansbury,The Sandman,4,8,0,187.96,92.99,187.96,Orthodox,19-11-1984
Josh Stuart,,1,4,0,175.26,72.57,,,
Josh Thomson,The Punk,22,9,0,177.8,70.31,180.34,Orthodox,21-09-1978
Josh Thornburg,,8,8,0,182.88,77.11,,,
Josh Wick,The White Mamba,12,6,0,175.26,70.31,175.26,Switch,04-10-1994
Joshua Burkman,The People's Warrior,28,16,0,177.8,77.11,182.88,Orthodox,10-04-1980
Joshua Van,The Fearless,9,1,0,165.1,56.7,165.1,Orthodox,10-10-2001
Joshua Wang-Kim,Twin Dragon,5,2,0,175.26,61.23,180.34,Switch,16-11-1992
Joshua Weems,Wide Open,11,3,0,172.72,61.23,175.26,Orthodox,05-05-1994
Josiah Harrell,Muscle Hamster,7,0,0,170.18,77.11,172.72,Southpaw,13-11-1998
Josiane Nunes,Josi,10,1,0,157.48,65.77,170.18,Southpaw,23-12-1993
Journey Newson,,10,5,0,165.1,61.23,170.18,Orthodox,07-03-1989
JP Buys,Young Savage,9,6,0,165.1,61.23,170.18,Orthodox,30-04-1996
JP Felty,,4,5,0,,77.11,,,
JR Coughran,Bam Bam,4,1,0,167.64,65.77,,Orthodox,17-05-1994
Juan Adams,The Kraken,5,3,0,195.58,120.2,203.2,Orthodox,16-01-1992
Juan Alcain,,1,2,0,,,,,
Juan Andres Luna,,12,1,0,170.18,56.7,182.88,Orthodox,20-08-1995
Juan Espino,El Guapo,11,2,0,190.5,115.67,203.2,Orthodox,09-10-1980
Juan Manuel Puig,Fenix,11,4,0,175.26,65.77,,Orthodox,23-04-1989
Juan Miranda,,7,5,0,,70.31,,,
Juan Mott,,3,4,0,182.88,86.18,,Switch,
Juan Puerta,Leadfeather,23,6,0,175.26,56.7,180.34,Southpaw,20-01-1988
Juancamilo Ronderos,100,4,2,0,160.02,56.7,162.56,Southpaw,17-02-1995
Jules Bruchez,,1,2,0,182.88,92.99,,Southpaw,16-08-1977
Julia Avila,Raging Panda,9,3,0,170.18,61.23,172.72,Orthodox,11-05-1988
Julia Budd,,10,2,0,170.18,65.77,170.18,,
Julia Polastri,The Dragon,12,3,0,157.48,52.16,160.02,Orthodox,05-03-1998
Julian Erosa,Juicy J,28,12,0,185.42,65.77,187.96,Southpaw,31-07-1989
Julian Marquez,The Cuban Missile Crisis,9,4,0,187.96,83.91,182.88,Orthodox,08-05-1990
Julian Sanchez,,0,1,0,190.5,136.08,,Orthodox,
Juliana Lima,Ju Thai,9,5,0,165.1,52.16,165.1,Orthodox,15-03-1982
Juliana Miller,Killer,4,3,0,170.18,56.7,167.64,Orthodox,07-05-1996
Julianna Pena,The Venezuelan Vixen,12,5,0,167.64,61.23,175.26,Orthodox,19-08-1989
Julie Kedzie,,16,13,0,165.1,61.23,,Orthodox,18-03-1981
Julija Stoliarenko,,11,8,2,170.18,56.7,167.64,Orthodox,08-04-1993
Julio Arce,,18,6,0,170.18,61.23,177.8,Southpaw,27-10-1989
Julio Cesar Neves Jr.,Morceguinho,33,1,0,172.72,65.77,,,
Julio Paulino,The Dominican Demon,23,5,0,182.88,77.11,,Orthodox,04-12-1975
Julius Anglickas,,5,1,0,190.5,92.99,,Orthodox,23-07-1991
Jumabieke Tuerxun,The Wild Wolf,19,4,1,170.18,61.23,,Orthodox,17-04-1986
JungHyun Lee,The Phenom,8,1,0,165.1,56.7,165.1,Orthodox,10-09-2002
Junie Browning,,5,6,0,175.26,70.31,,Orthodox,12-05-1984
Junior Albini,Baby,14,6,0,190.5,119.75,187.96,Orthodox,15-03-1991
Junior Assuncao,,16,6,0,175.26,65.77,182.88,Orthodox,24-06-1981
Junior Barata,,9,3,1,177.8,77.11,,Orthodox,25-01-1982
Junior Dos Santos,Cigano,21,9,0,193.04,107.95,195.58,Orthodox,30-01-1984
Junior Tafa,The Juggernaut,5,1,0,190.5,108.86,190.5,Orthodox,21-09-1996
Junya Kudo,,10,7,2,,61.23,,Orthodox,
Junye Gao,,19,12,0,,56.7,,,
JunYong Park,The Iron Turtle,17,5,0,177.8,83.91,185.42,Orthodox,27-02-1991
JunYoung Hong,Drunken Red,11,7,1,172.72,65.77,175.26,Orthodox,18-12-1990
Jussier Formiga,,23,8,0,165.1,56.7,170.18,Orthodox,14-04-1985
Justin Bruckmann,Loaf,7,3,0,175.26,77.11,,Orthodox,
Justin Buchholz,,15,10,0,182.88,70.31,185.42,Orthodox,22-08-1983
Justin Burlinson,,6,1,0,185.42,77.11,187.96,Switch,19-05-1997
Justin Davis,Dangerous,13,16,0,180.34,92.99,,,
Justin DeMoney,,15,7,1,,77.11,,,
Justin Edwards,Fast Eddy,9,5,0,177.8,70.31,177.8,Orthodox,26-01-1983
Justin Eilers,The Hammer,19,7,1,185.42,106.59,,Orthodox,28-06-1978
Justin Frazier,The Grizzly Bear,10,3,0,182.88,120.2,190.5,Southpaw,15-06-1989
Justin Gaethje,The Highlight,25,4,0,180.34,70.31,177.8,Orthodox,14-11-1988
Justin Gonzales,J-Train,6,0,0,175.26,65.77,182.88,Orthodox,28-04-1991
Justin Governale,The Therapist,5,5,0,,65.77,,,
Justin Guthrie,,18,9,0,185.42,77.11,,,
Justin Haskins,,7,6,0,177.8,77.11,,Orthodox,30-08-1979
Justin Hawes,The Hawk,6,9,0,180.34,92.99,,,
Justin James,,13,7,0,177.8,70.31,,Orthodox,08-11-1976
Justin Jaynes,The Guitar Hero,16,8,0,170.18,65.77,172.72,Orthodox,10-08-1989
Justin Jones,Black Dynamite,9,2,0,180.34,83.91,,Orthodox,06-09-1987
Justin Lawrence,The American Kidd,10,4,0,172.72,65.77,170.18,Orthodox,15-05-1990
Justin Ledet,El Blanco,9,4,0,193.04,92.99,203.2,Orthodox,28-09-1988
Justin Levens,The Executioner,10,7,0,180.34,83.91,,Orthodox,18-04-1980
Justin Martin,,4,3,0,182.88,83.91,,,
Justin McCully,The Insane One,11,5,2,185.42,102.06,185.42,Orthodox,18-02-1976
Justin McElfresh,,6,4,0,198.12,92.99,,Orthodox,04-01-1980
Justin Patterson,The Tactician,9,3,0,177.8,77.11,,,
Justin Pennington,,3,3,0,162.56,,,,
Justin Robbins,,14,18,1,165.1,61.23,,,
Justin Salas,J-Bomb,12,7,0,172.72,70.31,177.8,Southpaw,13-03-1982
Justin Scoggins,,11,5,0,170.18,56.7,167.64,Southpaw,02-05-1992
Justin Smitley,,10,7,1,,65.77,,,
Justin Sumter,,7,3,0,187.96,83.91,203.2,Southpaw,16-11-1989
Justin Tafa,Bad Man,7,3,0,182.88,119.75,187.96,Southpaw,13-12-1993
Justin Wilcox,Silverback,14,7,0,167.64,70.31,,Orthodox,12-03-1979
Justin Willis,Big Pretty,8,2,0,185.42,119.75,198.12,Southpaw,19-07-1987
Justin Wren,The Viking,13,2,0,187.96,120.2,,Orthodox,27-04-1987
Justine Kish,,7,4,0,165.1,56.7,162.56,Orthodox,13-04-1988
Jutaro Nakao,,25,19,4,175.26,77.11,,Southpaw,30-11-1970
JW Wright,,1,0,0,,58.97,,,
Kai Kamaka,The Fighting Hawaiian,8,4,1,170.18,65.77,175.26,Orthodox,05-01-1995
Kai Kara-France,Don't Blink,24,11,0,162.56,56.7,175.26,Orthodox,26-03-1993
Kaik Brito,,16,5,0,180.34,77.11,182.88,Orthodox,26-03-1997
Kailan Hill,,4,1,0,185.42,83.91,195.58,Southpaw,01-12-1994
Kailin Curran,,4,5,0,162.56,52.16,165.1,Orthodox,11-04-1991
Kain Royer,,2,2,0,,83.91,,,
Kaitlin Young,,7,9,1,175.26,61.23,,Orthodox,15-09-1985
Kaiwen,The Underdog,12,5,0,175.26,65.77,182.88,Switch,16-10-1995
Kajan Johnson,Ragin',23,13,1,180.34,70.31,190.5,Orthodox,21-04-1984
Kaleio Romero,KO,6,2,0,177.8,65.77,175.26,Switch,19-04-1996
Kaleo Kwan,Leo Boy,11,16,0,170.18,70.31,,,
Kali Robbins,Pop Tart,6,3,0,160.02,52.16,160.02,Orthodox,05-07-1984
Kalib Starnes,,17,11,1,190.5,83.91,187.96,Orthodox,06-01-1975
Kalindra Faria,,18,8,1,170.18,56.7,,Switch,23-07-1986
Kaline Medeiros,The Dark Angel,8,5,0,160.02,52.16,,,
Kaloyan Kolev,,10,1,0,187.96,92.99,185.42,Orthodox,17-10-1992
Kamal Shalorus,Prince of Persia,9,5,2,172.72,70.31,172.72,Orthodox,27-08-1972
Kamaru Usman,The Nigerian Nightmare,20,4,0,182.88,77.11,193.04,Switch,11-05-1987
Kamuela Kirk,The Jawaiian,12,6,0,177.8,70.31,190.5,Switch,13-04-1994
Kanako Murata,,12,3,0,154.94,52.16,157.48,Orthodox,10-08-1993
Karen Darabedyan,,13,6,0,170.18,70.31,172.72,Orthodox,18-12-1986
Karine Gevorgyan,The Princess,3,3,0,162.56,56.7,160.02,,
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,02-12-1993
Karl Amoussou,The Psycho,27,7,2,180.34,83.91,,Orthodox,21-11-1985
Karl Reed,No Worries,6,1,0,190.5,92.99,198.12,Orthodox,27-10-1988
Karl Roberson,Baby K,9,6,0,185.42,92.99,187.96,Southpaw,04-10-1990
Karl Williams,,9,1,0,190.5,106.59,200.66,Orthodox,06-01-1990
Karl Willis,,0,5,0,,,,,
Karla Benitez,,14,11,1,160.02,51.26,,,
Karlos Vemola,,17,5,0,182.88,83.91,190.5,Orthodox,03-07-1985
Karo Parisyan,The Heat,24,11,0,177.8,77.11,182.88,Orthodox,28-08-1982
Karol Rosa,,17,5,0,165.1,61.23,170.18,Orthodox,30-12-1994
Karolina Kowalkiewicz,,16,7,0,160.02,52.16,162.56,Orthodox,15-10-1985
Karolina Wojcik,Polish Assassin,9,2,0,157.48,52.16,,Orthodox,09-12-1994
Kasey Tanner,,6,1,0,170.18,61.23,175.26,Orthodox,11-01-1992
Kathryn Paprocki,,3,2,0,160.02,52.16,160.02,Orthodox,28-04-1993
Katlyn Chookagian,Blonde Fighter,18,5,0,175.26,56.7,172.72,Orthodox,28-12-1988
Katsuaki Furuki,,1,1,0,182.88,76.2,,,
Katsuhiko Nagata,,6,7,3,170.18,69.85,,Southpaw,31-10-1973
Katsuhisa Fujii,Shamoji,9,18,1,182.88,92.99,,Orthodox,15-08-1972
Katsunori Kikuno,,24,8,2,172.72,65.77,167.64,Orthodox,31-10-1981
Katsuya Inoue,,19,9,4,175.26,76.2,,Southpaw,10-08-1979
Katsuyori Shibata,,4,11,1,182.88,76.2,,Orthodox,17-11-1979
Kaue Fernandes,,8,2,0,175.26,70.31,185.42,Orthodox,17-03-1995
Kay Hansen,,7,6,0,157.48,52.16,160.02,Orthodox,14-08-1999
Kaynan Kruschewsky,Bahia,15,2,0,182.88,70.31,185.42,Orthodox,04-04-1991
Kazuhiro Hamanaka,,5,7,1,182.88,83.91,,Southpaw,24-10-1978
Kazuhiro Nakamura,Kaz,21,13,0,180.34,92.99,177.8,Orthodox,16-07-1979
Kazuhisa Watanabe,,0,1,0,167.64,63.05,,,
Kazuki Okubo,,7,9,0,180.34,79.38,,Orthodox,
Kazuki Tokudome,,18,7,1,180.34,70.31,185.42,Southpaw,04-03-1987
Kazula Vargas,,12,5,0,172.72,70.31,180.34,Southpaw,15-08-1985
Kazuma Maruyama,Gluttony,11,7,0,180.34,70.31,182.88,Orthodox,19-07-1992
Kazunari Murakami,,5,5,0,185.42,99.79,,Orthodox,29-11-1973
Kazunori Yokota,,25,7,3,172.72,69.85,,Orthodox,03-04-1978
Kazuo Misaki,Hitman,25,11,2,172.72,83.01,,Orthodox,25-04-1976
Kazushi Sakuraba,The Gracie Hunter,26,17,1,182.88,83.91,,Southpaw,14-07-1969
Kazuyuki Fujita,Ironhead,15,12,0,182.88,106.59,,Orthodox,16-10-1970
Kazuyuki Miyata,,15,9,0,172.72,63.05,,Orthodox,
KB Bhullar,The Bengal,8,2,0,193.04,83.91,198.12,Switch,12-10-1991
Keenan Raymond,,3,3,0,,74.84,,,
Keigo Kunihara,,3,2,0,182.88,106.59,,Orthodox,
Keiichiro Yamamiya,,45,35,10,180.34,83.91,,Southpaw,12-07-1972
Keisuke Fujiwara,,17,12,5,167.64,63.05,,Switch,
Keisuke Sasu,Sasuke,11,3,1,165.1,65.77,175.26,Switch,30-09-1994
Keita Nakamura,K-Taro,34,10,2,180.34,77.11,185.42,Southpaw,22-05-1984
Keith Berish,Sha Bang Bang,5,1,0,182.88,92.99,,Orthodox,14-11-1985
Keith Berry,,15,14,1,185.42,83.91,,,
Keith Hackney,The Giant Killer,2,2,0,180.34,90.72,,Sideways,
Keith Jardine,The Dean of Mean,17,11,2,187.96,83.91,193.04,Orthodox,31-10-1975
Keith Mielke,,0,5,0,172.72,83.91,,,
Keith Rockel,Rock,12,4,1,182.88,83.91,,Orthodox,
Keith Wisniewski,The Polish Connection,28,15,1,182.88,77.11,,Orthodox,25-10-1981
Kelly Dullanty,Psycho,4,2,0,172.72,70.31,,Orthodox,04-11-1977
Kelly Faszholz,,4,2,0,172.72,61.23,,Orthodox,09-04-1985
Kelly Kobold,Blood Red,19,3,1,167.64,61.23,,Orthodox,25-02-1983
Kelly Velasco,Killer,2,1,0,175.26,61.23,,Orthodox,21-05-1995
Kelvin Gastelum,,18,9,0,175.26,77.11,180.34,Southpaw,24-10-1991
Kemran Lachinov,,3,2,0,,77.11,,,
Ken Cross,The Boss,11,3,0,182.88,70.31,182.88,Southpaw,04-10-1994
Ken Kaneko,,0,3,0,182.88,73.03,,Orthodox,
Ken Shamrock,The World's Most Dangerous Man,28,17,2,185.42,92.99,182.88,Orthodox,11-02-1964
Ken Stone,,11,4,0,172.72,61.23,180.34,Southpaw,08-10-1982
Kendall Grove,Da Spyder,23,17,0,198.12,83.91,200.66,Orthodox,12-11-1982
Kengo Ura,Uraken,14,12,2,175.26,74.84,,,
Kengo Watanabe,,8,13,3,193.04,99.79,,Orthodox,31-01-1976
Kenichi Yamamoto,,5,12,2,182.88,77.11,,Orthodox,11-07-1976
Kenji Arai,,15,15,5,177.8,65.77,,Southpaw,05-10-1979
Kenji Osawa,,20,11,2,170.18,61.23,167.64,Orthodox,04-11-1976
Kennedy Nzechukwu,African Savage,12,4,0,195.58,92.99,210.82,Southpaw,13-06-1992
Kenneth Alexander,The Machine,7,6,0,175.26,70.31,,Orthodox,25-09-1977
Kenneth Bergh,,8,0,0,187.96,92.99,187.96,Orthodox,26-06-1989
Kenneth Seegrist,,4,7,0,182.88,83.91,,Orthodox,
Kenny Ento,Tha' Dragon,14,15,0,187.96,87.09,,,
Kenny Florian,KenFlo,14,6,0,177.8,65.77,187.96,Southpaw,26-05-1976
Kenny Giddens,,12,7,0,180.34,70.31,,,
Kenny Robertson,,15,5,0,177.8,77.11,187.96,Orthodox,14-02-1984
Kenyon Jackson,,4,3,0,182.88,83.91,,,
Kerry Schall,Meat Truck,24,13,0,187.96,120.2,,Orthodox,09-08-1971
Kerry Vera,,2,0,0,170.18,61.23,,Orthodox,
Kestutis Smirnovas,,24,8,2,177.8,90.72,,Orthodox,
Ketlen Souza,Esquentadinha,13,4,0,160.02,56.7,160.02,Orthodox,18-08-1994
Ketlen Vieira,Fenomeno,14,3,0,172.72,61.23,172.72,Orthodox,26-08-1991
Kevin Aguilar,Angel of Death,17,5,0,170.18,70.31,185.42,Orthodox,07-09-1988
Kevin Borjas,El Gallo Negro,9,2,0,165.1,56.7,172.72,Orthodox,06-12-1997
Kevin Burns,The Fire,12,7,0,177.8,77.11,187.96,Orthodox,03-03-1980
Kevin Casey,King,9,5,2,180.34,83.91,195.58,Southpaw,15-06-1981
Kevin Croom,Crash,21,15,0,180.34,61.23,185.42,Orthodox,15-07-1987
Kevin Engel,The Hitman,5,1,0,187.96,77.11,,,
Kevin Ferguson,Kimbo Slice,5,2,0,187.96,106.59,195.58,Orthodox,08-02-1974
Kevin Gray,Pocket Herc,9,4,0,162.56,56.7,170.18,Orthodox,03-05-1985
Kevin Haley,The North Woods Nightmare,6,4,0,187.96,92.99,,,
Kevin Holland,Trailblazer,25,10,0,190.5,77.11,205.74,Orthodox,05-11-1992
Kevin Jackson,,4,2,0,177.8,90.26,,Switch,
Kevin Jordan,The Shaman,11,9,0,190.5,111.13,,Orthodox,31-12-1970
Kevin Jousset,Air,9,2,0,187.96,77.11,190.5,Orthodox,02-05-1993
Kevin Knabjian,,12,7,1,177.8,77.11,,Orthodox,05-07-1984
Kevin Lee,The Motown Phenom,18,8,0,175.26,77.11,195.58,Orthodox,04-09-1992
Kevin Natividad,Quicksand,9,4,0,167.64,61.23,177.8,Orthodox,02-04-1993
Kevin Randleman,The Monster,17,16,0,177.8,92.99,,Orthodox,10-08-1971
Kevin Roddy,K-Rod,15,16,1,180.34,65.77,,,
Kevin Rosier,,2,6,0,193.04,124.74,,Orthodox,
Kevin Syler,El Nino Bala,10,1,0,175.26,70.31,180.34,Switch,29-07-1993
Kevin Szaflarski,,11,2,0,195.58,117.93,195.58,Orthodox,30-12-1994
Kevin Vallejos,El Chino,11,1,0,170.18,65.77,172.72,Switch,08-12-2001
Khabib Nurmagomedov,The Eagle,29,0,0,177.8,70.31,177.8,Orthodox,20-09-1988
Khadis Ibragimov,,8,4,0,190.5,92.99,198.12,Orthodox,21-05-1995
Khadzhi Bestaev,Best,10,4,0,198.12,83.91,193.04,,
Khalid Murtazaliev,,14,2,0,182.88,83.91,193.04,Orthodox,15-07-1993
Khalid Taha,The Warrior,13,5,0,165.1,61.23,175.26,Orthodox,15-02-1992
Khalil Rountree Jr.,,13,5,0,185.42,92.99,193.04,Southpaw,26-02-1990
Khama Worthy,The Death Star,16,9,0,180.34,70.31,187.96,Orthodox,15-10-1986
Khamzat Chimaev,Borz,13,0,0,187.96,83.91,190.5,Orthodox,01-05-1994
Khaos Williams,The OxFighter,14,3,0,182.88,77.11,195.58,Orthodox,30-03-1994
Khomkrit Niimi,The Bumblebee,6,10,0,157.48,56.7,,,
Khusein Askhabov,Nohcho,23,1,0,172.72,65.77,175.26,Orthodox,13-02-1995
Kiefer Crosbie,BDK,10,4,0,180.34,77.11,177.8,Switch,05-04-1990
Kier Gooch,,2,7,0,,70.31,,,
Kiichi Kunimoto,Strasser,18,7,2,177.8,77.11,180.34,Orthodox,01-05-1981
Kim Couture,Sugar Free,3,8,0,172.72,61.23,,Orthodox,18-12-1975
Kim In Seok,,3,6,0,167.64,65.77,,Orthodox,
Kimo Leopoldo,,10,7,1,190.5,106.59,,Orthodox,05-01-1968
Kin Moy,Kong,8,3,0,165.1,61.23,,,
Kiril Sidelnikov,,11,4,0,180.34,104.33,,,
Kit Cope,Havoc,6,7,0,182.88,77.11,,Orthodox,17-03-1977
Kiyoshi Tamura,,32,13,3,180.34,83.91,,Southpaw,17-12-1969
KJ Noons,King,13,9,0,177.8,70.31,177.8,Orthodox,07-12-1982
Klayton Mai,,8,3,0,175.26,56.7,,,
Kleydson Rodrigues,KR,8,3,0,165.1,61.23,170.18,Orthodox,22-10-1995
Klidson Abreu,White Bear,15,4,0,182.88,92.99,187.96,Orthodox,24-12-1992
Koichiro Matsumoto,,15,3,1,170.18,65.77,,,
Koji Kitao,,1,2,0,200.66,158.76,,Southpaw,12-10-1963
Koji Oishi,,25,10,10,172.72,77.11,,Orthodox,31-05-1977
Kolton Englund,White Assassin,9,4,0,177.8,70.31,175.26,Orthodox,09-07-1993
Konstantin Erokhin,,9,3,0,180.34,104.33,,Orthodox,31-01-1983
Korey Kuppe,,8,4,0,195.58,77.11,195.58,Switch,23-01-1989
Kotetsu Boku,,25,11,2,175.26,69.85,,Orthodox,27-05-1977
Koya Kanda,Bushido,12,5,0,175.26,65.77,190.5,Southpaw,20-12-1995
Koyomi Matsushima,,13,6,0,170.18,65.77,167.64,Orthodox,08-10-1992
Kris McCray,Savage,8,5,0,182.88,77.11,193.04,Orthodox,24-09-1981
Kris Moutinho,,9,6,0,170.18,61.23,172.72,Southpaw,09-08-1992
Krishaun Gilmore,,0,1,0,,,,,
Kristian Rothaermel,,4,3,0,182.88,92.99,,Open Stance,31-01-1972
Kristof Midoux,The Hurricane,6,10,0,185.42,99.79,,Orthodox,30-07-1974
Kron Gracie,,5,2,0,175.26,65.77,177.8,Southpaw,11-07-1988
Krzysztof Jotko,,24,6,0,185.42,83.91,195.58,Southpaw,19-08-1989
Krzysztof Soszynski,The Polish Experiment,26,12,1,185.42,92.99,195.58,Open Stance,02-08-1977
Kultar Gill,Black Mamba,12,8,0,182.88,69.85,,Orthodox,24-03-1979
Kuniyoshi Hironaka,,23,9,0,177.8,76.2,177.8,Orthodox,17-06-1976
Kurt Holobaugh,,21,7,0,180.34,70.31,177.8,Orthodox,08-09-1986
Kurt Osiander,,4,1,0,,83.91,,,
Kurt Pellegrino,Batman,16,7,0,172.72,70.31,177.8,Orthodox,07-05-1979
Kwan Ho Kwak,,9,2,0,165.1,61.23,,Switch,18-06-1989
KyeungPyo Kim,Redhorse,11,4,0,175.26,70.31,180.34,Orthodox,29-01-1992
Kyle Bochniak,Killer B,8,5,0,170.18,65.77,177.8,Orthodox,05-02-1987
Kyle Bolt,,8,4,0,187.96,83.91,,,
Kyle Bradley,,19,12,0,175.26,70.31,180.34,Orthodox,19-08-1982
Kyle Daukaus,,11,4,0,190.5,83.91,193.04,Southpaw,27-02-1993
Kyle Dietz,,5,2,0,172.72,61.23,,Orthodox,29-04-1986
Kyle Driscoll,KD,12,3,0,180.34,65.77,187.96,Orthodox,23-09-1994
Kyle Jensen,,4,11,2,175.26,77.11,,Orthodox,20-07-1979
Kyle Kingsbury,Kingsbu,11,6,0,193.04,92.99,200.66,Orthodox,22-03-1982
Kyle Kurtz,,7,5,0,,77.11,,,
Kyle Levinton,,0,3,0,,,,,
Kyle Nelson,The Monster,15,5,1,180.34,65.77,180.34,Switch,20-04-1991
Kyle Noblitt,,11,2,0,187.96,110.22,,,
Kyle Noke,,22,10,1,185.42,77.11,193.04,Southpaw,18-03-1980
Kyle Prepolec,,12,7,0,177.8,77.11,177.8,Southpaw,30-08-1989
Kyle Reyes,Boom,15,7,0,172.72,65.77,,,
Kyle Stewart,Gunz Up,11,3,0,182.88,77.11,193.04,Orthodox,31-01-1989
Kyle Sturgeon,,0,1,0,190.5,102.06,,Switch,
Kyle Watson,,13,8,1,182.88,70.31,,Southpaw,09-08-1979
Kyler Phillips,The Matrix,11,2,0,172.72,61.23,182.88,Orthodox,12-06-1995
Kyoji Horiguchi,,19,2,0,165.1,56.7,167.64,Orthodox,12-10-1990
Kyosuke Sasaki,,3,7,4,170.18,83.01,,Southpaw,
Kyron Bowen,Bullseye,9,5,0,190.5,83.91,185.42,Orthodox,22-12-1993
Kyu Sung Kim,,12,5,0,,56.7,,,
Kyung Ho Kang,Mr. Perfect,19,10,0,175.26,61.23,185.42,Orthodox,09-09-1987
Lacey Schuckman,,11,10,0,160.02,56.7,,,
Lance Benoist,,7,2,0,180.34,77.11,182.88,Southpaw,26-08-1988
Lance Gibson,Fearless,4,5,0,175.26,83.91,,Orthodox,20-11-1970
Lance Lawrence,,4,1,0,185.42,65.77,187.96,Orthodox,26-06-1993
Lando Vannata,Groovy,12,7,2,175.26,70.31,180.34,Orthodox,14-03-1992
Landon Quinones,The Lone Wolf,7,2,1,175.26,70.31,177.8,Southpaw,21-11-1995
Landon Showalter,The Show,11,19,1,182.88,83.91,,,
Lara Procopio,,7,2,0,162.56,56.7,170.18,Orthodox,14-11-1995
Larissa Pacheco,,10,2,0,170.18,61.23,,Orthodox,07-09-1994
Larry Cureton,,0,2,0,187.96,108.86,,Orthodox,
Larry Parker,,13,6,1,180.34,92.99,,Orthodox,
Laureano Staropoli,Pepi,9,5,0,185.42,83.91,180.34,Orthodox,27-02-1993
Lauren Mueller,Princess Tiger,5,3,0,165.1,56.7,170.18,Orthodox,15-11-1991
Lauren Murphy,Lucky,16,6,0,165.1,56.7,170.18,Orthodox,27-07-1983
Lavar Johnson,Big,18,10,0,193.04,108.86,208.28,Orthodox,11-06-1977
